id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,cuenta_origen,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,tipo_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,dispositivo_reconocido,operacion_pais,operacion_region,direccion_ip_origen,geolocalizacion,cuenta_destino,destino_alto_riesgo,IS_FRAUD,IMPACTO_FRAUDE
ed5159dd-b9e,empresa,57,ES,Centro,3364,21.97,292.59,1.58,0,79883416-b25,ES204278661838,activa,7231.82,8939.29,175.83,5265.09,4,5,84b69d55-1af,activa,2025-05-05,383,3000,0,966e5ec4-4f2,transferencia,2026-03-05 16:49:00,0,0,74408,2,188.51,PIN,1,245ee02d-f31b-4d,1,ES,Centro,86.34.12.179,"40.4168,-3.7038",ES169540317577,0,0,0
87bd1aab-6d5,persona,68,FR,Normandía,2068,283.7,1425.4,2.99,0,6dc20861-8a9,ES614489564242,activa,20487.8,17619.42,724.25,743.83,10,3,ef7085f9-d6c,activa,2023-04-01,1148,2000,0,c7419a64-87e,tarjeta,2026-01-23 07:34:38,0,0,76243,3,45.13,PIN,1,5a65f40d-cd4f-42,1,FR,Bretaña,90.14.61.52,"48.8566,2.3522",ES735546725072,1,0,0
59274e0f-c63,persona,62,PT,Oporto,1671,83.21,537.38,11.62,0,a317adbf-6be,ES364773638692,activa,411.39,460.83,424.28,8401.06,0,1,aec38fd2-1a1,activa,2024-08-12,649,500,0,b1d49513-1f0,tarjeta,2026-04-21 09:40:50,0,0,80407,5,25.82,PIN,2,3621604b-58fb-4f,1,PT,Oporto,85.128.118.137,"41.1579,-8.6291",ES833936678283,0,0,0
50fc7d04-cf8,persona,79,ES,Este,3436,575.25,270.19,4.76,0,49d2de56-c2a,ES924280528574,suspendida,2813.67,3041.82,29934.41,1610.17,3,2,8b68663c-2c9,activa,2023-03-25,1155,2000,0,63915dc1-be7,tarjeta,2026-02-15 23:58:46,1,1,18009,2,198.57,firma,2,bd52429e-4d8a-4f,1,ES,Sur,86.56.138.66,"40.4168,-3.7038",ES642797821786,0,0,0
b32ef222-fb3,persona,73,DE,Hesse,3557,171.31,302.57,4.0,0,5be81a99-acb,ES299855168916,activa,253.51,217.16,255.84,2212.94,4,3,8c30b510-49f,bloqueada,2023-09-27,969,1000,2,78b9db38-e88,tarjeta,2026-04-01 15:53:47,0,0,17633,3,67.33,3DS,3,78fcde9b-6e00-40,1,DE,Hesse,87.220.5.4,"52.5200,13.4050",ES973327198270,0,0,0
91945fe9-edc,empresa,83,ES,Centro,2173,339.39,501.74,1.32,0,5b2da833-be9,ES243261231282,activa,2962.38,2880.75,24615.2,17607.91,2,1,788931d0-2d4,activa,2022-01-11,1593,1000,1,4bef0f72-f98,tarjeta,2025-12-15 04:31:27,1,0,77201,2,18.11,3DS,2,1ba3f81e-78ef-41,0,US,Texas,73.33.208.94,"25.7617,-80.1918",ES475732105289,0,0,0
e73f7fad-b74,premium,81,IT,Toscana,1734,2805.1,872.8,0.67,0,e889a5ab-f39,ES117069800963,activa,1614.24,1650.44,9888.53,8442.82,7,1,2a21abe9-cdc,activa,2022-08-06,1386,500,0,f311d694-255,tarjeta,2026-01-14 06:53:32,0,0,74764,0,77.9,3DS,2,77d8f725-26e1-4f,1,IT,Toscana,95.187.180.67,"45.4642,9.1900",ES169688178271,0,0,0
1aef6bd1-6b1,premium,46,FR,Provence,2172,679.89,47.84,3.91,0,2f435de5-d51,ES135754606350,activa,6721.05,6344.75,3332.34,13206.56,2,3,b5ba6b6e-18a,activa,2024-04-14,769,500,0,51b7935a-abd,tarjeta,2025-12-21 08:07:00,0,1,20,4,822.92,PIN,2,662a762c-d34e-4d,0,FR,Bretaña,90.49.240.123,"48.8566,2.3522",ES311164520631,0,1,2
65e9abb0-385,persona,70,ES,Este,3625,696.12,312.31,2.16,0,e5cceb59-06f,ES177528938873,activa,157.47,194.75,1077.72,780.97,4,1,2c58d99a-9fd,activa,2023-03-02,1178,1000,1,bac21e05-fe4,tarjeta,2025-12-22 22:12:58,0,0,65679,2,109.95,PIN,2,3f8e8e76-7ff8-4a,0,ES,Este,86.133.146.145,"39.4699,-0.3763",ES118539549481,0,0,0
6424ae3d-4a8,persona,34,PT,Lisboa,2866,80.52,1059.56,3.07,0,6f1c3b0e-32b,ES425808904861,activa,222.32,155.82,12161.05,1673.99,0,0,abc4fa0a-d2b,activa,2023-08-29,998,2000,2,f5a9116c-475,transferencia,2026-01-14 11:28:19,0,0,26419,1,1108.77,3DS,2,868e8fe1-4ff7-40,1,PT,Lisboa,85.185.37.137,"38.7223,-9.1393",ES461983100038,0,0,0
cdee7fc0-b5f,autónomo,82,IT,Lombardía,3280,227.92,1538.87,1.21,0,5387140a-b0e,ES787485235611,bloqueada,90.4,103.27,882.79,4392.84,5,1,fba272b0-483,activa,2026-04-05,48,1000,0,08200bc1-6fd,tarjeta,2025-12-14 13:39:20,0,1,69483,6,958.82,3DS,0,9c61f702-670a-42,1,IT,Lazio,95.163.220.137,"41.9028,12.4964",ES105155510313,1,1,2
1ae7e4ec-86c,premium,80,BR,São Paulo,1810,254.28,87.41,4.27,0,ae3d4b00-053,ES286826862875,activa,476.47,586.18,5450.45,2484.62,2,4,4c0f1929-3c1,caducada,2024-10-17,583,500,0,a9d6725b-88a,tarjeta,2025-11-25 07:19:59,0,0,83371,2,432.4,PIN,3,46545f7b-dac1-46,1,BR,São Paulo,177.9.154.84,"-19.9167,-43.9345",ES593669507869,0,0,0
6151691a-782,persona,19,FR,Normandía,1131,355.95,462.18,0.75,0,ab20cf5e-9b2,ES921263744481,activa,2890.14,2489.48,17837.83,1649.84,2,2,79787544-57c,activa,2025-07-21,306,2000,0,300e76ff-155,tarjeta,2026-03-23 07:21:56,0,0,38766,0,589.12,PIN,2,b8277e9b-1a90-4e,1,FR,Bretaña,90.112.192.133,"43.2965,5.3698",ES326030277352,0,0,0
330cfb4d-3d8,persona,36,US,Texas,3512,827.92,370.22,3.48,0,055df31f-e3a,ES577579584924,activa,1889.77,1932.66,3568.13,216.84,0,0,1d492f70-2fe,activa,2021-12-28,1607,500,1,eec7c948-3d8,tarjeta,2026-03-11 00:16:36,1,0,43987,2,642.93,3DS,3,509d9c33-ca1c-49,1,US,Texas,73.251.95.104,"40.7128,-74.0060",ES907204766768,0,0,0
