id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,cuenta_origen,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,tipo_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,dispositivo_reconocido,operacion_pais,operacion_region,direccion_ip_origen,geolocalizacion,cuenta_destino,destino_alto_riesgo
3ddebd45-ccd,empresa,57,ES,Centro,3364,21.97,292.59,1.58,0,8f3262c1-69a,ES204278661838,activa,7231.82,8939.29,175.83,5265.09,4,5,00df680c-e19,activa,2025-05-04,383,3000,0,059638c5-40f,transferencia,2026-03-04 09:10:53,0,0,74408,2,188.51,PIN,1,fa1bdf50-1c95-45,1,ES,Centro,86.34.12.179,"40.4168,-3.7038",ES169540317577,0
12625769-3f8,persona,68,FR,Normandía,2068,283.7,1425.4,2.99,0,c35f11c3-1b4,ES614489564242,activa,20487.8,17619.42,724.25,743.83,10,3,d8425c2e-7fd,activa,2023-03-31,1148,2000,0,a00ed476-b71,tarjeta,2026-01-21 23:56:31,1,0,76243,3,45.13,PIN,1,1d0337cd-8f7a-42,1,FR,Bretaña,90.14.61.52,"48.8566,2.3522",ES735546725072,1
b5768bae-00f,persona,62,PT,Oporto,1671,83.21,537.38,11.62,0,5c877ae4-9de,ES364773638692,activa,411.39,460.83,424.28,8401.06,0,1,0ba857a4-477,activa,2024-08-11,649,500,0,53673521-1b0,tarjeta,2026-04-20 02:02:43,1,0,80407,5,25.82,PIN,2,0bf03526-6f4e-42,1,PT,Oporto,85.128.118.137,"41.1579,-8.6291",ES833936678283,0
c3a35556-977,persona,79,ES,Este,3436,575.25,270.19,4.76,0,93b2d214-e8b,ES924280528574,suspendida,2813.67,3041.82,29934.41,1610.17,3,2,1f49e9e5-868,activa,2023-03-24,1155,2000,0,a8a58fe8-940,tarjeta,2026-02-14 16:20:39,0,1,18009,2,198.57,firma,2,29a17329-bcec-42,1,ES,Sur,86.56.138.66,"40.4168,-3.7038",ES642797821786,0
46b228e3-b47,persona,73,DE,Hesse,3557,171.31,302.57,4.0,0,38e2e120-d61,ES299855168916,activa,253.51,217.16,255.84,2212.94,4,3,de6d5b53-d02,bloqueada,2023-09-26,969,1000,2,e99741de-240,tarjeta,2026-03-31 08:15:40,0,0,17633,3,67.33,3DS,3,5854151e-c36e-41,1,DE,Hesse,87.220.5.4,"52.5200,13.4050",ES973327198270,0
1cb6f6a7-4b6,empresa,83,ES,Centro,2173,339.39,501.74,1.32,0,1f7c7579-20f,ES243261231282,activa,2962.38,2880.75,24615.2,17607.91,2,1,baf790b9-d6a,activa,2022-01-10,1593,1000,1,7b5634e7-610,tarjeta,2025-12-13 20:53:20,0,1,77201,2,18.11,3DS,2,b51c6d85-c770-49,0,US,Texas,73.33.208.94,"25.7617,-80.1918",ES475732105289,0
6ac0879c-6f2,premium,81,IT,Toscana,1734,2805.1,872.8,0.67,0,13f4a607-30e,ES117069800963,activa,1614.24,1650.44,9888.53,8442.82,7,1,3678e975-b62,activa,2022-08-05,1386,500,0,cbccff1e-441,tarjeta,2026-01-12 23:15:25,1,0,74764,0,77.9,3DS,2,be0f5335-7080-4e,1,IT,Toscana,95.187.180.67,"45.4642,9.1900",ES169688178271,0
efc79548-62d,premium,46,FR,Provence,2172,679.89,47.84,3.91,0,48bfa236-b1f,ES135754606350,activa,6721.05,6344.75,3332.34,13206.56,2,3,c463d05f-a96,activa,2024-04-13,769,500,0,8517613c-de0,tarjeta,2025-12-20 00:28:53,1,1,58048,4,822.92,PIN,2,300c88ee-9b70-4c,1,FR,Bretaña,90.49.240.123,"48.8566,2.3522",ES311164520631,0
b71b5401-a59,persona,35,ES,Sur,1175,467.31,607.59,1.18,0,03c718c6-eed,ES941086375731,activa,7235.02,7744.08,223.48,811.45,3,0,de224c0e-798,activa,2022-12-18,1251,2000,1,dd5ac3ec-10e,transferencia,2025-12-21 14:34:51,0,1,41919,3,109.95,PIN,2,5f10202b-85fa-4b,1,ES,Sur,86.163.14.209,"39.4699,-0.3763",ES366731275484,0
08129276-5c0,empresa,24,PT,Algarve,2226,232.69,243.78,4.91,0,82fbadcc-ad8,ES309196260862,activa,3068.42,2716.07,1014.94,9269.01,5,0,92a5a605-1b3,caducada,2023-06-23,1064,2000,0,9f5c2495-5f3,transferencia,2026-01-13 03:50:12,1,0,48236,0,113.75,3DS,2,3c501b45-3518-47,0,DE,Baviera,87.212.239.96,"53.5511,9.9937",ES812974706050,0
