id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,cuenta_origen,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,tipo_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,dispositivo_reconocido,operacion_pais,operacion_region,direccion_ip_origen,geolocalizacion,cuenta_destino,destino_alto_riesgo
e3ce00dc-009,premium,78,ES,Centro,1638,134.26,307.4,1.72,0,cf0318a5-f6f,ES339322268562,cerrada,910.3,1091.87,1247.23,1355.93,2,1,99ce3901-5d8,activa,2022-05-05,1482,500.0,0,aa735b3a-e46,tarjeta,2025-11-29 18:57:35,0,1,11424,3,171.18,PIN,0,8e6f94b9-7ff5-42,1,ES,Centro,86.91.110.188,"40.4168,-3.7038",ES891189373471,0
202a757a-824,persona,64,ES,Este,2253,895.68,248.02,1.1,0,a8ab8342-520,ES634843898972,activa,561.09,544.17,29329.89,8498.1,6,4,c7e2f806-d67,activa,2023-09-26,973,500.0,0,1df2f4c2-962,transferencia,2026-01-11 11:40:48,0,1,61888,1,114.73,PIN,1,479c26db-4770-4e,0,ES,Norte,86.71.11.162,"40.4168,-3.7038",ES186463302717,1
359e67d0-109,persona,79,ES,Centro,2146,61.01,411.91,1.95,0,59b8d25e-b20,ES564840202823,activa,2855.29,2894.24,1639.33,2720.86,1,2,190dc50b-d47,caducada,2023-04-18,1134,1000.0,0,4ca92a98-8d3,tarjeta,2025-12-22 00:41:42,1,0,43615,2,16.06,firma,3,94fda8ad-4468-43,1,ES,Centro,86.246.91.217,"40.4168,-3.7038",ES525636205922,1
5b5f402e-eb4,persona,44,ES,Norte,2675,306.55,217.37,1.59,0,97bbaf2f-2ea,ES714748166388,activa,1326.79,1102.91,457.53,129.36,1,2,5bb24e1f-cbf,activa,2022-04-08,1509,5000.0,0,9887aa42-52e,tarjeta,2026-04-05 08:02:58,0,1,26339,2,987.93,PIN,2,49a89da8-0c04-41,1,ES,Norte,86.115.97.198,"40.4168,-3.7038",ES115737185410,0
cc3bbe21-4c6,autónomo,33,ES,Norte,3272,122.9,20.81,3.18,0,71e4fa59-250,ES687546298628,activa,468.98,355.35,2403.8,7521.39,4,2,77359640-362,activa,2026-01-13,133,5000.0,0,17b5ed94-bee,tarjeta,2025-12-11 19:33:56,0,0,42672,5,230.35,PIN,1,87ac0379-c2c6-4d,1,ES,Norte,86.53.162.208,"40.4168,-3.7038",ES116423554846,0
64354a46-475,persona,50,BR,Río,1300,171.19,98.51,1.87,0,c4b5da98-a4c,ES425555905095,activa,4027.27,3408.66,12551.82,2655.39,6,2,85e0e0d4-c8a,activa,2024-12-25,517,500.0,3,804be7fe-ecf,tarjeta,2025-12-01 02:31:09,1,0,6132,1,247.58,PIN,2,d865da2c-01c7-48,1,ES,Oeste,86.66.103.174,"40.4168,-3.7038",ES463327442055,0
97260093-405,empresa,40,ES,Sur,154,117.85,944.15,0.94,0,abb241a3-2f4,ES578206659651,activa,185.94,220.54,6454.75,964241.67,6,0,87281ad2-fee,activa,2021-08-25,1735,500.0,0,cedc266e-971,tarjeta,2025-12-13 03:03:10,1,1,53036,1,1541.59,PIN,2,1152192a-4b39-46,1,ES,Sur,86.108.223.116,"40.4168,-3.7038",ES722148729367,0
8204c062-790,empresa,57,ES,Oeste,2703,470.72,1861.78,2.68,0,e2776095-a9a,ES726177993271,activa,5281.84,5902.9,1161.13,492.53,1,3,61cc2686-973,robada,2023-04-04,1148,2000.0,0,19ef4785-b3e,tarjeta,2026-01-09 02:40:47,1,0,61419,0,89.86,PIN,1,18efaead-7eb1-41,0,ES,Oeste,86.196.203.144,"40.4168,-3.7038",ES318004913085,0
bc0fa0e0-5ff,persona,56,ES,Oeste,1312,5093.57,24.63,9.44,0,6ee6f3e1-f63,ES438390790528,activa,519.25,630.31,683.85,5961.96,1,0,15c9199b-2fb,activa,2025-09-11,257,3000.0,0,0b0e9bdc-d43,transferencia,2026-03-21 20:00:43,0,1,69479,1,65.53,PIN,2,d478bb9e-4ee7-4d,1,IT,Lombardía,86.89.7.93,"40.4168,-3.7038",ES593427500070,0
d9f1378a-df5,persona,51,GB,Gales,616,88.16,342.63,4.04,0,571cc5e1-8c3,ES451728816445,activa,2426.37,2791.22,2262.36,204.08,7,3,cfd59418-d23,caducada,2021-08-15,1745,1000.0,0,51b71095-7ae,tarjeta,2026-03-13 21:59:34,0,0,60951,2,23.79,PIN,2,cea88e14-2937-44,1,GB,Gales,86.150.143.57,"40.4168,-3.7038",ES285171536080,0
7121a2c8-1ee,premium,75,ES,Sur,1156,595.51,611.8,10.89,0,e696e4b6-e53,ES188241195326,activa,13533.72,10156.57,1556.27,4047.01,2,0,858517c9-667,extraviada,2023-02-01,1210,1000.0,0,96d269ec-25f,transferencia,2026-04-12 23:17:40,1,1,34608,4,94.3,firma,1,e6d164dd-e22b-4a,1,ES,Sur,86.60.126.105,"40.4168,-3.7038",ES269702849498,0
