id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,cuenta_origen,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,tipo_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,dispositivo_reconocido,operacion_pais,operacion_region,direccion_ip_origen,geolocalizacion,cuenta_destino,destino_alto_riesgo,dataset_origen,hour,day_of_week,is_weekday,fraudes_prev_capped,txn_vs_limit_pct,txn_vs_balance_pct,txn_vs_monthly_avg_pct,balance_vs_avg_pct,outflow_inflow_ratio,net_flow_30d,limite_breach_rate,txn_intensity,balance_utilization,txn_severity,tenure_years,cross_border,cross_region,same_country_device,importe_transaccion_log,saldo_actual_log,volumen_saliente_log,volumen_entrante_log,tiempo_ultima_log,txn_por_minuto,burst_rapido,alta_velocidad,monto_velocidad,tiempo_ultima_bin,foreign_unknown_device,night_velocity,high_ratio_redondeado,tipo_cliente_freq,tipo_cliente_target,customer_country_freq,customer_country_target,customer_region_freq,customer_region_target,tipo_transaccion_freq,tipo_transaccion_target,metodo_autenticacion_freq,metodo_autenticacion_target,operacion_pais_freq,operacion_pais_target,operacion_region_freq,operacion_region_target,probabilidad_fraude,prediccion_fraude,impacto_fraude
3ddebd45-ccd,empresa,57,ES,Centro,3364,21.97,292.59,1.58,0,8f3262c1-69a,ES204278661838,activa,7231.82,8939.29,175.83,5265.09,4,5,00df680c-e19,activa,2025-05-04,383,3000,0,059638c5-40f,transferencia,2026-03-04 09:10:53,0,0,74408,2,188.51,PIN,1,fa1bdf50-1c95-45,1,ES,Centro,86.34.12.179,"40.4168,-3.7038",ES169540317577,0,v1,9,2,1,0,0.06283666666666667,0.026066743917851937,8.580336822940373,0.8089926604909338,29.944207473127452,-5089.26,0.0,2.6878469002405623e-05,0.2979664011199627,377.02,9.216438356164383,0,0,1,5.244441793578718,8.886384280600176,8.569043430681193,5.175188819066886,11.217332181247112,0.001611430413063329,0,0,377.02,4,0,False,0,1834,0.14285714285714285,4489,0.14591222989529962,814,0.16339066339066338,3020,0.18543046357615894,3775,0.09960264900662252,3877,0.07712148568480784,712,0.07443820224719101,0.0051,0,0
12625769-3f8,persona,68,FR,Normandía,2068,283.7,1425.4,2.99,0,c35f11c3-1b4,ES614489564242,activa,20487.8,17619.42,724.25,743.83,10,3,d8425c2e-7fd,activa,2023-03-31,1148,2000,0,a00ed476-b71,tarjeta,2026-01-21 23:56:31,1,0,76243,3,45.13,PIN,1,1d0337cd-8f7a-42,1,FR,Bretaña,90.14.61.52,"48.8566,2.3522",ES735546725072,1,v1,23,2,1,0,0.022565,0.002202774333993889,0.15907648924920692,1.1627965052198086,1.0270348636520539,-19.58000000000004,0.0,3.934735848066733e-05,0.8809269536523173,135.39000000000001,5.6657534246575345,0,1,1,3.8314634975697293,9.927633674364206,6.613156004421272,6.586516423001513,11.241694002848963,0.002359016028203347,0,0,135.39000000000001,4,0,False,0,5438,0.1526296432511953,1646,0.15188335358444716,382,0.17539267015706805,6980,0.135243553008596,3775,0.09960264900662252,1581,0.12966476913345984,435,0.1310344827586207,0.0201,0,0
b5768bae-00f,persona,62,PT,Oporto,1671,83.21,537.38,11.62,0,5c877ae4-9de,ES364773638692,activa,411.39,460.83,424.28,8401.06,0,1,0ba857a4-477,activa,2024-08-11,649,500,0,53673521-1b0,tarjeta,2026-04-20 02:02:43,1,0,80407,5,25.82,PIN,2,0bf03526-6f4e-42,1,PT,Oporto,85.128.118.137,"41.1579,-8.6291",ES833936678283,0,v1,2,0,1,0,0.05164,0.06276282845961254,0.31029924287946165,0.8927153180131502,19.80074479117564,-7976.78,0.0,6.218286737638046e-05,0.09214757048590282,129.1,4.578082191780822,0,0,1,3.2891478778535324,6.021969503546191,9.036232192860696,6.052747775524881,11.294868952704576,0.0037282364198988407,0,1,129.1,4,0,True,0,5438,0.1526296432511953,443,0.14672686230248308,132,0.1590909090909091,6980,0.135243553008596,3775,0.09960264900662252,603,0.24543946932006633,184,0.2391304347826087,0.009,0,0
c3a35556-977,persona,79,ES,Este,3436,575.25,270.19,4.76,0,93b2d214-e8b,ES924280528574,suspendida,2813.67,3041.82,29934.41,1610.17,3,2,1f49e9e5-868,activa,2023-03-24,1155,2000,0,a8a58fe8-940,tarjeta,2026-02-14 16:20:39,0,1,18009,2,198.57,firma,2,29a17329-bcec-42,1,ES,Sur,86.56.138.66,"40.4168,-3.7038",ES642797821786,0,v1,16,5,0,0,0.099285,0.07057330817046775,0.3451890482398957,0.9249955618675662,0.053789936063546935,28324.239999999998,0.0,0.0001110494169905608,0.1520833958302085,397.14,9.413698630136986,0,1,1,5.2961650519798935,7.942600304572257,7.384715902128586,10.306797339607733,9.798682438170001,0.006641208699983398,0,0,397.14,4,0,False,0,5438,0.1526296432511953,4489,0.14591222989529962,1035,0.13429951690821257,6980,0.135243553008596,1668,0.2577937649880096,3877,0.07712148568480784,694,0.08789625360230548,0.0056,0,0
46b228e3-b47,persona,73,DE,Hesse,3557,171.31,302.57,4.0,0,38e2e120-d61,ES299855168916,activa,253.51,217.16,255.84,2212.94,4,3,de6d5b53-d02,bloqueada,2023-09-26,969,1000,2,e99741de-240,tarjeta,2026-03-31 08:15:40,0,0,17633,3,67.33,3DS,3,5854151e-c36e-41,1,DE,Hesse,87.220.5.4,"52.5200,13.4050",ES973327198270,0,v1,8,1,1,0,0.06733,0.2655911009427636,0.393030179207285,1.1673881009393996,8.649702939337086,-1957.1000000000001,0.2857142857142857,0.0001701258931609391,0.021713828617138286,201.99,9.745205479452055,0,0,1,4.224348908792687,5.539340127949483,7.702529012630361,5.548453322925848,9.777584135646972,0.010173514949415024,0,0,201.99,4,0,False,0,5438,0.1526296432511953,1157,0.14088159031979255,281,0.14590747330960854,6980,0.135243553008596,3097,0.1798514691637068,1179,0.15521628498727735,287,0.17073170731707318,0.0097,0,0
1cb6f6a7-4b6,empresa,83,ES,Centro,2173,339.39,501.74,1.32,0,1f7c7579-20f,ES243261231282,activa,2962.38,2880.75,24615.2,17607.91,2,1,baf790b9-d6a,activa,2022-01-10,1593,1000,1,7b5634e7-610,tarjeta,2025-12-13 20:53:20,0,1,77201,2,18.11,3DS,2,b51c6d85-c770-49,0,US,Texas,73.33.208.94,"25.7617,-80.1918",ES475732105289,0,v1,20,5,0,0,0.01811,0.0061133277972441075,0.05336044079083061,1.0283363707367874,0.7153267087003152,7007.290000000001,0.14285714285714285,2.5906064609725138e-05,0.28804619538046194,36.22,5.953424657534247,1,1,0,2.950211758252182,7.994085787747338,9.776160302924945,10.111160041765752,11.254180642413045,0.001553176893905075,0,0,36.22,4,1,False,0,1834,0.14285714285714285,4489,0.14591222989529962,814,0.16339066339066338,6980,0.135243553008596,3097,0.1798514691637068,577,0.268630849220104,129,0.2713178294573643,0.5337,1,1
6ac0879c-6f2,premium,81,IT,Toscana,1734,2805.1,872.8,0.67,0,13f4a607-30e,ES117069800963,activa,1614.24,1650.44,9888.53,8442.82,7,1,3678e975-b62,activa,2022-08-05,1386,500,0,cbccff1e-441,tarjeta,2026-01-12 23:15:25,1,0,74764,0,77.9,3DS,2,be0f5335-7080-4e,1,IT,Toscana,95.187.180.67,"45.4642,9.1900",ES169688178271,0,v1,23,0,1,0,0.15580000000000002,0.04825800376647835,0.027770845959145845,0.9780664550059378,0.8537993008060853,1445.710000000001,0.0,0.0,0.33002199560087986,0.0,4.750684931506849,0,0,1,4.368181227851829,7.387238831427004,9.041190091829586,9.199231900737264,11.222105140017945,0.0,0,0,0.0,4,0,False,0,1181,0.14225232853513972,703,0.1891891891891892,181,0.18232044198895028,6980,0.135243553008596,3097,0.1798514691637068,788,0.2398477157360406,188,0.22872340425531915,0.0069,0,0
efc79548-62d,premium,46,FR,Provence,2172,679.89,47.84,3.91,0,48bfa236-b1f,ES135754606350,activa,6721.05,6344.75,3332.34,13206.56,2,3,c463d05f-a96,activa,2024-04-13,769,500,0,8517613c-de0,tarjeta,2025-12-20 00:28:53,1,1,58048,4,822.92,PIN,2,300c88ee-9b70-4c,1,FR,Bretaña,90.49.240.123,"48.8566,2.3522",ES311164520631,0,v1,0,5,0,0,1.64584,0.12243920220798833,1.2103722661018694,1.0593088774183381,3.963149018407485,-9874.22,0.0,6.890730245137728e-05,1.2686962607478505,3291.68,5.950684931506849,0,1,1,6.714073437817547,8.81314844651981,9.48854467190152,8.111730083306073,10.969042760448804,0.004130240242307427,0,1,3291.68,4,0,True,0,1181,0.14225232853513972,1646,0.15188335358444716,372,0.1478494623655914,6980,0.135243553008596,3775,0.09960264900662252,1581,0.12966476913345984,435,0.1310344827586207,0.0267,0,0
b71b5401-a59,persona,35,ES,Sur,1175,467.31,607.59,1.18,0,03c718c6-eed,ES941086375731,activa,7235.02,7744.08,223.48,811.45,3,0,de224c0e-798,activa,2022-12-18,1251,2000,1,dd5ac3ec-10e,transferencia,2025-12-21 14:34:51,0,1,41919,3,109.95,PIN,2,5f10202b-85fa-4b,1,ES,Sur,86.163.14.209,"39.4699,-0.3763",ES366731275484,0,v1,14,6,0,0,0.054975,0.015196917216538448,0.23528278872696926,0.9342646253654405,3.6309736889207094,-587.97,0.14285714285714285,7.156488549618321e-05,0.3871846407679616,329.85,3.219178082191781,0,0,1,4.709079649378603,8.886826610469354,6.700054373848785,5.413786616354151,10.643518318994923,0.004287858214821696,0,0,329.85,4,0,False,0,5438,0.1526296432511953,4489,0.14591222989529962,793,0.13366960907944514,3020,0.18543046357615894,3775,0.09960264900662252,3877,0.07712148568480784,694,0.08789625360230548,0.0027,0,0
08129276-5c0,empresa,24,PT,Algarve,2226,232.69,243.78,4.91,0,82fbadcc-ad8,ES309196260862,activa,3068.42,2716.07,1014.94,9269.01,5,0,92a5a605-1b3,caducada,2023-06-23,1064,2000,0,9f5c2495-5f3,transferencia,2026-01-13 03:50:12,1,0,48236,0,113.75,3DS,2,3c501b45-3518-47,0,DE,Baviera,87.212.239.96,"53.5511,9.9937",ES812974706050,0,v1,3,1,1,0,0.056875,0.03707119625083919,0.48884782328419785,1.1297278788838285,9.132569412970225,-8254.07,0.0,0.0,0.1357967101644918,0.0,6.098630136986301,1,1,0,4.7427558489406545,8.029243897651218,9.134539737307971,6.923569571276495,10.78388164041252,0.0,0,0,0.0,4,1,False,0,1834,0.14285714285714285,443,0.14672686230248308,186,0.14516129032258066,3020,0.18543046357615894,3097,0.1798514691637068,1179,0.15521628498727735,282,0.1276595744680851,0.695,1,1
