id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,cuenta_origen,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,tipo_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,dispositivo_reconocido,operacion_pais,operacion_region,direccion_ip_origen,geolocalizacion,cuenta_destino,destino_alto_riesgo,IS_FRAUD,IMPACTO_FRAUDE,hour,day_of_week,is_weekday,fraudes_prev_capped,txn_vs_limit_pct,txn_vs_balance_pct,txn_vs_monthly_avg_pct,balance_vs_avg_pct,outflow_inflow_ratio,net_flow_30d,limite_breach_rate,txn_intensity,balance_utilization,txn_severity,tenure_years,cross_border,cross_region,same_country_device,importe_transaccion_log,saldo_actual_log,volumen_saliente_log,volumen_entrante_log,tiempo_ultima_log,txn_por_minuto,burst_rapido,alta_velocidad,monto_velocidad,tiempo_ultima_bin,foreign_unknown_device,night_velocity,high_ratio_redondeado,tipo_cliente_freq,tipo_cliente_target,customer_country_freq,customer_country_target,customer_region_freq,customer_region_target,tipo_transaccion_freq,tipo_transaccion_target,metodo_autenticacion_freq,metodo_autenticacion_target,operacion_pais_freq,operacion_pais_target,operacion_region_freq,operacion_region_target,probabilidad_fraude,prediccion_fraude,impacto_fraude
ed5159dd-b9e,empresa,57,ES,Centro,3364,21.97,292.59,1.58,0,79883416-b25,ES204278661838,activa,7231.82,8939.29,175.83,5265.09,4,5,84b69d55-1af,activa,2025-05-05,383,3000,0,966e5ec4-4f2,transferencia,2026-03-05 16:49:00,0,0,74408,2,188.51,PIN,1,245ee02d-f31b-4d,1,ES,Centro,86.34.12.179,"40.4168,-3.7038",ES169540317577,0,0,0,16,3,1,0,0.06283666666666667,0.026066743917851937,8.580336822940373,0.8089926604909338,29.944207473127452,-5089.26,0.0,2.6878469002405623e-05,0.2979664011199627,377.02,9.216438356164383,0,0,1,5.244441793578718,8.886384280600176,8.569043430681193,5.175188819066886,11.217332181247112,0.001611430413063329,0,0,377.02,4,0,False,0,1834,0.14285714285714285,4489,0.14591222989529962,814,0.16339066339066338,3020,0.18543046357615894,3775,0.09960264900662252,3877,0.07712148568480784,712,0.07443820224719101,0.0052,0,0
87bd1aab-6d5,persona,68,FR,Normandía,2068,283.7,1425.4,2.99,0,6dc20861-8a9,ES614489564242,activa,20487.8,17619.42,724.25,743.83,10,3,ef7085f9-d6c,activa,2023-04-01,1148,2000,0,c7419a64-87e,tarjeta,2026-01-23 07:34:38,0,0,76243,3,45.13,PIN,1,5a65f40d-cd4f-42,1,FR,Bretaña,90.14.61.52,"48.8566,2.3522",ES735546725072,1,0,0,7,4,1,0,0.022565,0.002202774333993889,0.15907648924920692,1.1627965052198086,1.0270348636520539,-19.58000000000004,0.0,3.934735848066733e-05,0.8809269536523173,135.39000000000001,5.6657534246575345,0,1,1,3.8314634975697293,9.927633674364206,6.613156004421272,6.586516423001513,11.241694002848963,0.002359016028203347,0,0,135.39000000000001,4,0,False,0,5438,0.1526296432511953,1646,0.15188335358444716,382,0.17539267015706805,6980,0.135243553008596,3775,0.09960264900662252,1581,0.12966476913345984,435,0.1310344827586207,0.0182,0,0
59274e0f-c63,persona,62,PT,Oporto,1671,83.21,537.38,11.62,0,a317adbf-6be,ES364773638692,activa,411.39,460.83,424.28,8401.06,0,1,aec38fd2-1a1,activa,2024-08-12,649,500,0,b1d49513-1f0,tarjeta,2026-04-21 09:40:50,0,0,80407,5,25.82,PIN,2,3621604b-58fb-4f,1,PT,Oporto,85.128.118.137,"41.1579,-8.6291",ES833936678283,0,0,0,9,1,1,0,0.05164,0.06276282845961254,0.31029924287946165,0.8927153180131502,19.80074479117564,-7976.78,0.0,6.218286737638046e-05,0.09214757048590282,129.1,4.578082191780822,0,0,1,3.2891478778535324,6.021969503546191,9.036232192860696,6.052747775524881,11.294868952704576,0.0037282364198988407,0,1,129.1,4,0,False,0,5438,0.1526296432511953,443,0.14672686230248308,132,0.1590909090909091,6980,0.135243553008596,3775,0.09960264900662252,603,0.24543946932006633,184,0.2391304347826087,0.0082,0,0
50fc7d04-cf8,persona,79,ES,Este,3436,575.25,270.19,4.76,0,49d2de56-c2a,ES924280528574,suspendida,2813.67,3041.82,29934.41,1610.17,3,2,8b68663c-2c9,activa,2023-03-25,1155,2000,0,63915dc1-be7,tarjeta,2026-02-15 23:58:46,1,1,18009,2,198.57,firma,2,bd52429e-4d8a-4f,1,ES,Sur,86.56.138.66,"40.4168,-3.7038",ES642797821786,0,0,0,23,6,0,0,0.099285,0.07057330817046775,0.3451890482398957,0.9249955618675662,0.053789936063546935,28324.239999999998,0.0,0.0001110494169905608,0.1520833958302085,397.14,9.413698630136986,0,1,1,5.2961650519798935,7.942600304572257,7.384715902128586,10.306797339607733,9.798682438170001,0.006641208699983398,0,0,397.14,4,0,False,0,5438,0.1526296432511953,4489,0.14591222989529962,1035,0.13429951690821257,6980,0.135243553008596,1668,0.2577937649880096,3877,0.07712148568480784,694,0.08789625360230548,0.005,0,0
b32ef222-fb3,persona,73,DE,Hesse,3557,171.31,302.57,4.0,0,5be81a99-acb,ES299855168916,activa,253.51,217.16,255.84,2212.94,4,3,8c30b510-49f,bloqueada,2023-09-27,969,1000,2,78b9db38-e88,tarjeta,2026-04-01 15:53:47,0,0,17633,3,67.33,3DS,3,78fcde9b-6e00-40,1,DE,Hesse,87.220.5.4,"52.5200,13.4050",ES973327198270,0,0,0,15,2,1,0,0.06733,0.2655911009427636,0.393030179207285,1.1673881009393996,8.649702939337086,-1957.1000000000001,0.2857142857142857,0.0001701258931609391,0.021713828617138286,201.99,9.745205479452055,0,0,1,4.224348908792687,5.539340127949483,7.702529012630361,5.548453322925848,9.777584135646972,0.010173514949415024,0,0,201.99,4,0,False,0,5438,0.1526296432511953,1157,0.14088159031979255,281,0.14590747330960854,6980,0.135243553008596,3097,0.1798514691637068,1179,0.15521628498727735,287,0.17073170731707318,0.0097,0,0
91945fe9-edc,empresa,83,ES,Centro,2173,339.39,501.74,1.32,0,5b2da833-be9,ES243261231282,activa,2962.38,2880.75,24615.2,17607.91,2,1,788931d0-2d4,activa,2022-01-11,1593,1000,1,4bef0f72-f98,tarjeta,2025-12-15 04:31:27,1,0,77201,2,18.11,3DS,2,1ba3f81e-78ef-41,0,US,Texas,73.33.208.94,"25.7617,-80.1918",ES475732105289,0,0,0,4,0,1,0,0.01811,0.0061133277972441075,0.05336044079083061,1.0283363707367874,0.7153267087003152,7007.290000000001,0.14285714285714285,2.5906064609725138e-05,0.28804619538046194,36.22,5.953424657534247,1,1,0,2.950211758252182,7.994085787747338,9.776160302924945,10.111160041765752,11.254180642413045,0.001553176893905075,0,0,36.22,4,1,False,0,1834,0.14285714285714285,4489,0.14591222989529962,814,0.16339066339066338,6980,0.135243553008596,3097,0.1798514691637068,577,0.268630849220104,129,0.2713178294573643,0.5573,1,1
e73f7fad-b74,premium,81,IT,Toscana,1734,2805.1,872.8,0.67,0,e889a5ab-f39,ES117069800963,activa,1614.24,1650.44,9888.53,8442.82,7,1,2a21abe9-cdc,activa,2022-08-06,1386,500,0,f311d694-255,tarjeta,2026-01-14 06:53:32,0,0,74764,0,77.9,3DS,2,77d8f725-26e1-4f,1,IT,Toscana,95.187.180.67,"45.4642,9.1900",ES169688178271,0,0,0,6,2,1,0,0.15580000000000002,0.04825800376647835,0.027770845959145845,0.9780664550059378,0.8537993008060853,1445.710000000001,0.0,0.0,0.33002199560087986,0.0,4.750684931506849,0,0,1,4.368181227851829,7.387238831427004,9.041190091829586,9.199231900737264,11.222105140017945,0.0,0,0,0.0,4,0,False,0,1181,0.14225232853513972,703,0.1891891891891892,181,0.18232044198895028,6980,0.135243553008596,3097,0.1798514691637068,788,0.2398477157360406,188,0.22872340425531915,0.0066,0,0
1aef6bd1-6b1,premium,46,FR,Provence,2172,679.89,47.84,3.91,0,2f435de5-d51,ES135754606350,activa,6721.05,6344.75,3332.34,13206.56,2,3,b5ba6b6e-18a,activa,2024-04-14,769,500,0,51b7935a-abd,tarjeta,2025-12-21 08:07:00,0,1,20,4,822.92,PIN,2,662a762c-d34e-4d,0,FR,Bretaña,90.49.240.123,"48.8566,2.3522",ES311164520631,0,1,2,8,6,0,0,1.64584,0.12243920220798833,1.2103722661018694,1.0593088774183381,3.963149018407485,-9874.22,0.0,0.19047619047619047,1.2686962607478505,3291.68,5.950684931506849,0,1,0,6.714073437817547,8.81314844651981,9.48854467190152,8.111730083306073,3.044522437723423,3.0,0,1,3291.68,0,0,False,0,1181,0.14225232853513972,1646,0.15188335358444716,372,0.1478494623655914,6980,0.135243553008596,3775,0.09960264900662252,1581,0.12966476913345984,435,0.1310344827586207,0.9216,1,2
65e9abb0-385,persona,70,ES,Este,3625,696.12,312.31,2.16,0,e5cceb59-06f,ES177528938873,activa,157.47,194.75,1077.72,780.97,4,1,2c58d99a-9fd,activa,2023-03-02,1178,1000,1,bac21e05-fe4,tarjeta,2025-12-22 22:12:58,0,0,65679,2,109.95,PIN,2,3f8e8e76-7ff8-4a,0,ES,Este,86.133.146.145,"39.4699,-0.3763",ES118539549481,0,0,0,22,0,1,0,0.10995,0.6982282339493237,0.15794690570591277,0.8085750962772785,0.7246501874327284,296.75,0.14285714285714285,3.0450669914738125e-05,0.019473052694730528,219.9,9.931506849315069,0,0,0,4.709079649378603,5.065565300954717,6.66181637663807,6.983530432045696,11.092549744126309,0.0018254004472231095,0,0,219.9,4,0,False,0,5438,0.1526296432511953,4489,0.14591222989529962,1035,0.13429951690821257,6980,0.135243553008596,3775,0.09960264900662252,3877,0.07712148568480784,860,0.06976744186046512,0.0377,0,0
6424ae3d-4a8,persona,34,PT,Lisboa,2866,80.52,1059.56,3.07,0,6f1c3b0e-32b,ES425808904861,activa,222.32,155.82,12161.05,1673.99,0,0,abc4fa0a-d2b,activa,2023-08-29,998,2000,2,f5a9116c-475,transferencia,2026-01-14 11:28:19,0,0,26419,1,1108.77,3DS,2,868e8fe1-4ff7-40,1,PT,Lisboa,85.185.37.137,"38.7223,-9.1393",ES461983100038,0,0,0,11,2,1,0,0.554385,4.987270600935588,13.770119225037257,1.426774483378257,0.13765176526697942,10487.06,0.2857142857142857,3.785011355034065e-05,0.007790610469476526,1108.77,7.852054794520548,0,0,1,7.011908065628793,5.40860572044216,7.423562474092091,9.40607572683753,10.181876578076317,0.0022659465991918125,0,0,1108.77,4,0,False,0,5438,0.1526296432511953,443,0.14672686230248308,125,0.136,3020,0.18543046357615894,3097,0.1798514691637068,603,0.24543946932006633,196,0.23469387755102042,0.006,0,0
