id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,cuenta_origen,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,tipo_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,dispositivo_reconocido,operacion_pais,operacion_region,direccion_ip_origen,geolocalizacion,cuenta_destino,destino_alto_riesgo,IS_FRAUD,IMPACTO_FRAUDE
ef003387-479,empresa,57,ES,Centro,3364,21.97,292.59,1.58,0,c4575f6f-af0,ES204278661838,activa,7231.82,8939.29,175.83,5265.09,4,5,ea142ccb-556,activa,2025-05-05,383,3000,0,f19fa00c-b8b,transferencia,2026-03-05 16:47:47,0,0,74408,2,188.51,PIN,1,004452e6-30b2-4b,1,ES,Centro,86.34.12.179,"40.4168,-3.7038",ES169540317577,0,0,0
d1a4178b-5d5,persona,68,FR,Normandía,2068,283.7,1425.4,2.99,0,0fbeb575-5db,ES614489564242,activa,20487.8,17619.42,724.25,743.83,10,3,d42f41be-1e0,activa,2023-04-01,1148,2000,0,63def4bb-ba4,tarjeta,2026-01-23 07:33:25,0,0,76243,3,45.13,PIN,1,d0e20c0c-553b-46,1,FR,Bretaña,90.14.61.52,"48.8566,2.3522",ES735546725072,1,0,0
f0f74b9e-e5a,persona,62,PT,Oporto,1671,83.21,537.38,11.62,0,7c0f2dc4-830,ES364773638692,activa,411.39,460.83,424.28,8401.06,0,1,6a7af5b6-aea,activa,2024-08-12,649,500,0,2d7956b2-f30,tarjeta,2026-04-21 09:39:37,0,0,80407,5,25.82,PIN,2,943f1096-6a67-46,1,PT,Oporto,85.128.118.137,"41.1579,-8.6291",ES833936678283,0,0,0
02e22c9e-e1b,persona,79,ES,Este,3436,575.25,270.19,4.76,0,d6aefaf1-915,ES924280528574,suspendida,2813.67,3041.82,29934.41,1610.17,3,2,5a9ef85e-977,activa,2023-03-25,1155,2000,0,574ba10e-a91,tarjeta,2026-02-15 23:57:33,1,1,18009,2,198.57,firma,2,aa6f11e1-3565-47,1,ES,Sur,86.56.138.66,"40.4168,-3.7038",ES642797821786,0,0,0
245d8aff-fd6,persona,73,DE,Hesse,3557,171.31,302.57,4.0,0,b1581560-4d7,ES299855168916,activa,253.51,217.16,255.84,2212.94,4,3,7268f689-a2b,bloqueada,2023-09-27,969,1000,2,4389b216-990,tarjeta,2026-04-01 15:52:34,0,0,17633,3,67.33,3DS,3,2f60b680-06f5-4b,1,DE,Hesse,87.220.5.4,"52.5200,13.4050",ES973327198270,0,0,0
536ce1ce-833,empresa,83,ES,Centro,2173,339.39,501.74,1.32,0,ef3c9f5f-355,ES243261231282,activa,2962.38,2880.75,24615.2,17607.91,2,1,20b89d24-9ac,activa,2022-01-11,1593,1000,1,c40e1e1a-eda,tarjeta,2025-12-15 04:30:14,1,0,77201,2,18.11,3DS,2,589cb344-1766-4e,0,US,Texas,73.33.208.94,"25.7617,-80.1918",ES475732105289,0,0,0
5217e271-d79,premium,81,IT,Toscana,1734,2805.1,872.8,0.67,0,8d2451cb-e71,ES117069800963,activa,1614.24,1650.44,9888.53,8442.82,7,1,f0ab5af1-e8e,activa,2022-08-06,1386,500,0,0a2e072c-70d,tarjeta,2026-01-14 06:52:19,0,0,74764,0,77.9,3DS,2,94d807ce-ec35-44,1,IT,Toscana,95.187.180.67,"45.4642,9.1900",ES169688178271,0,0,0
9d150412-678,premium,46,FR,Provence,2172,679.89,47.84,3.91,0,28de08a4-757,ES135754606350,activa,6721.05,6344.75,3332.34,13206.56,2,3,a0004274-e9c,activa,2024-04-14,769,500,0,e0b57d0e-8e5,tarjeta,2025-12-21 08:05:47,0,1,58048,4,822.92,PIN,2,38c9216d-e074-43,1,FR,Bretaña,90.49.240.123,"48.8566,2.3522",ES311164520631,0,1,2
21b129f5-8dd,persona,35,ES,Sur,1175,467.31,607.59,1.18,0,97571c08-833,ES941086375731,activa,7235.02,7744.08,223.48,811.45,3,0,64c753c1-23e,activa,2022-12-19,1251,2000,1,9baf68a6-a61,transferencia,2025-12-22 22:11:45,0,0,41919,3,109.95,PIN,2,7d340dcf-135d-49,1,ES,Sur,86.163.14.209,"39.4699,-0.3763",ES366731275484,0,0,0
031a2f0c-52f,empresa,24,PT,Algarve,2226,232.69,243.78,4.91,0,00a2b463-277,ES309196260862,activa,3068.42,2716.07,1014.94,9269.01,5,0,bf79255b-c0f,caducada,2023-06-24,1064,2000,0,885fea4a-db3,transferencia,2026-01-14 11:27:06,0,0,48236,0,113.75,3DS,2,8cb67224-460a-41,0,DE,Baviera,87.212.239.96,"53.5511,9.9937",ES812974706050,0,0,0
83f0ff11-b23,persona,76,DE,Hamburgo,2904,263.51,522.97,1.47,0,53736243-75f,ES676557543247,activa,263.62,210.54,10839.33,9159.77,3,3,cae9a27f-c1d,activa,2021-10-10,1686,3000,3,367ac2e0-52b,tarjeta,2025-12-14 13:38:07,0,1,67217,2,132.57,3DS,2,cde5af06-51da-43,1,DE,Hamburgo,87.74.120.190,"48.1351,11.5820",ES412448152555,0,0,0
20cb9a06-9db,autónomo,20,ES,Oeste,1012,847.12,1010.8,0.63,0,0ee093ce-84c,ES155919248927,activa,3883.13,4986.84,6934.78,35780.62,4,3,8edafdca-903,activa,2024-08-19,642,500,0,a8d9199c-0fb,tarjeta,2025-11-25 07:18:46,0,0,52689,3,149.46,PIN,0,cd6d9083-ea3d-4e,1,ES,Norte,86.90.181.87,"37.3891,-5.9845",ES612020664044,0,1,1
206bbbc9-01d,persona,76,US,Florida,1969,341.87,868.07,0.83,0,536e48a6-34c,ES487681954884,activa,4440.07,4051.96,275.73,3854.7,2,3,2c733f88-04b,activa,2025-03-26,423,2000,0,79572c57-08b,tarjeta,2026-03-23 07:20:43,0,0,6359,2,68.04,firma,1,1d948486-a4d2-4a,1,US,Florida,73.144.155.168,"40.7128,-74.0060",ES333973804896,0,1,1
062b23ec-b49,persona,61,DE,Hesse,1775,210.78,94.47,6.2,0,5715ee4a-e29,ES334895816377,bloqueada,513.76,667.21,9915.56,2258.02,5,3,baebb195-364,activa,2024-09-10,620,1000,0,45c32a31-c44,tarjeta,2026-03-11 00:15:23,1,0,73809,3,34.66,firma,2,81cb296e-9233-4c,1,DE,Hesse,87.157.221.224,"53.5511,9.9937",ES243588883848,0,0,0
